Subdivision,Total Living Area SqFt,Year Built,Bedrooms,Full Baths,Half Baths,Property Type,List Price,Sold Price,Acres,Approx Lot SqFt,Approximate Acres,Basement,Construction Type,Days On Market,Closing Date,Fireplace,Garage,HOA 1 Fees Required,Internet Listing,List Date,Master Bedroom 1st Floor,New Construction,Total Baths,Zip,Inside City,HOA Y/N,Elementary School 1,High School 1,Middle School 1,City,Restrictive Covenants
Fendol Farms,"1,551",2020,2,2,0,Detached,"$339,705","$354,205",0-.25 Acres,"10,149.48",0.233,No,Site Built,0,1/11/2021,1,2,Yes,Yes,2/21/2020,Yes,Yes,2,27703,Yes,Yes,None,None,None,Durham,Yes
Briardale,"1,828",1993,3,2,0,Detached,"$275,000","$290,000",.26-.5 Acres,"16,117.20",0.37,No,Site Built,3,1/11/2021,1,2,,Yes,12/8/2020,Yes,No,2,27712,Yes,No,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Buck Water Creek,"2,465",1992,3,2,1,Detached,"$322,900","$320,500",0-.25 Acres,"10,890.00",0.25,No,Site Built,29,1/12/2021,1,2,Yes,Yes,11/12/2020,No,No,3,27712,Yes,Yes,Durham - Easley,Durham - Riverside,Durham - Brogden,Durham,Yes
Not in a Subdivision,"1,813",2016,3,2,1,Detached,"$430,000","$430,000",0-.25 Acres,"5,052.96",0.116,No,Site Built,13,1/12/2021,1,1,,Yes,12/30/2020,No,No,3,27707,Yes,,Durham - Spaulding,Durham - Jordan,Durham - Brogden,Durham,No
Colony Park,"2,475",1964,5,3,0,Detached,"$480,000","$531,000",.51-.75 Acres,"23,958.00",0.55,Yes,Site Built,2,1/12/2021,1,2,Yes,Yes,12/2/2020,No,No,3,27705,Yes,Yes,Durham - Forest View,Durham - Jordan,Durham - Githens,Durham,Yes
Woodcroft,"1,045",1984,2,2,0,Attached,"$200,000","$200,000",0-.25 Acres,"1,916.64",0.044,No,Site Built,5,1/12/2021,1,0,Yes,Yes,12/3/2020,Yes,No,2,27713,Yes,,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Stillwood,"2,430",2007,3,2,1,Detached,"$268,000","$270,000",0-.25 Acres,"6,534.00",0.15,No,Site Built,3,1/12/2021,0,2,Yes,Yes,12/16/2020,No,No,3,27704,Yes,Yes,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Eno Trace,"2,650",1989,3,2,1,Detached,"$265,000","$268,000",.26-.5 Acres,"15,246.00",0.35,Yes,Site Built,4,1/12/2021,1,2,Yes,Yes,11/15/2020,No,No,3,27712,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Not in a Subdivision,"4,490",2007,4,4,2,Detached,"$949,000","$899,900",6-10.9 Acres,"409,638.24",9.404,No,Site Built,30,1/12/2021,2,3,,Yes,10/12/2020,Yes,No,6,27712,No,,Durham - Little River,Durham - Northern,Durham - Carrington,Durham,No
Winsford at the Park,"1,625",2016,3,2,1,Attached,"$275,000","$275,000",0-.25 Acres,"3,484.80",0.08,No,Site Built,43,1/12/2021,1,1,Yes,Yes,10/19/2020,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Pine Acres,"1,266",1972,2,1,0,Detached,"$172,500","$168,000",0-.25 Acres,"7,143.84",0.164,No,Site Built,56,1/12/2021,0,0,,Yes,9/2/2020,Yes,No,1,27707,Yes,No,Durham - Fayetteville,Durham - Hillside,Durham - Githens,Durham,No
Huntington  Place,"1,297",1969,3,2,0,Detached,"$240,000","$237,000",.26-.5 Acres,"20,473.20",0.47,No,Site Built,4,1/12/2021,0,0,,Yes,12/5/2020,Yes,No,2,27712,Yes,No,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,No
Not in a Subdivision,"2,928",1961,3,3,0,Detached,"$279,000","$289,000",.26-.5 Acres,"20,560.32",0.472,Yes,Site Built,3,1/12/2021,2,1,,Yes,11/24/2020,Yes,No,3,27713,Yes,No,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Not in a Subdivision,"1,542",2014,3,2,1,Detached,"$385,000","$400,000",.26-.5 Acres,"12,632.40",0.29,No,Site Built,3,1/12/2021,1,0,,Yes,12/11/2020,Yes,No,3,27707,Yes,No,Durham - Lakewood,Durham - Jordan,Durham - Brogden,Durham,No
Not in a Subdivision,"2,347",1920,4,3,0,Detached,"$623,000","$602,000",0-.25 Acres,"6,185.52",0.142,No,Site Built,8,1/12/2021,1,0,,Yes,11/29/2020,No,No,3,27701,Yes,No,Durham - Glenn,Durham - Riverside,Durham - Brogden,Durham,No
Woodcroft,"1,996",1993,3,2,1,Detached,"$318,900","$330,000",0-.25 Acres,"9,452.52",0.217,No,Site Built,0,1/13/2021,1,2,Yes,Yes,10/5/2020,No,No,3,27713,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Emorywood  Estates,"2,377",1980,4,3,0,Detached,"$399,900","$371,500",.26-.5 Acres,"19,994.04",0.459,No,Site Built,26,1/13/2021,1,2,Yes,Yes,11/2/2020,Yes,No,3,27713,Yes,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Carpenters Ridge,"1,497",1989,3,2,1,Detached,"$260,000","$260,000",.26-.5 Acres,"13,372.92",0.307,No,Site Built,29,1/13/2021,1,1,,Yes,7/2/2020,No,No,3,27713,Yes,No,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Page Square,"1,558",2021,3,2,1,Attached,"$284,180","$300,120",0-.25 Acres,"2,352.24",0.054,No,Site Built,0,1/13/2021,0,1,Yes,Yes,7/28/2020,No,Yes,3,27703,No,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Bluffs Of The Eno,"1,375",1989,3,2,0,Detached,"$210,000","$221,500",0-.25 Acres,"5,357.88",0.123,No,Site Built,3,1/13/2021,1,0,Yes,Yes,11/24/2020,Yes,No,2,27712,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Not in a Subdivision,"1,595",1958,3,1,1,Detached,"$200,000","$180,000",.26-.5 Acres,"21,605.76",0.496,No,Site Built,40,1/13/2021,0,0,No,Yes,11/5/2020,Yes,No,2,27703,Yes,No,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,No
Not in a Subdivision,"1,370",1925,3,2,0,Detached,"$399,000","$370,000",0-.25 Acres,"7,492.32",0.172,No,Site Built,59,1/13/2021,0,0,,Yes,9/26/2020,Yes,No,2,27701,Yes,,Durham - Pearson,Durham - Riverside,Wayne - Brodgen,Durham,No
Huntington Ridge,"3,080",2003,4,2,1,Detached,"$449,900","$480,000",0-.25 Acres,"10,018.80",0.23,No,Site Built,4,1/13/2021,1,2,Yes,Yes,12/10/2020,No,No,3,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Broad Acres,"1,137",1948,3,1,0,Detached,"$249,800","$245,000",.26-.5 Acres,"9,278.28",0.213,No,Site Built,10,1/13/2021,1,0,,Yes,11/20/2020,Yes,No,1,27705,Yes,No,Durham - E.K. Powe,Durham - Riverside,Durham - Brogden,Durham,No
Trinity Park,"1,901",1956,3,1,1,Detached,"$265,000","$260,000",0-.25 Acres,"7,797.24",0.179,Yes,Site Built,11,1/14/2021,1,0,,Yes,9/25/2020,Yes,No,2,27701,Yes,No,Durham - George Watts,Durham - Riverside,Durham - Brogden,Durham,Yes
Not in a Subdivision,"1,676",1945,5,4,0,Detached,"$299,000","$270,000",0-.25 Acres,"7,448.76",0.171,No,Site Built,55,1/14/2021,0,0,No,Yes,10/5/2020,Yes,No,4,27704-4258,Yes,No,Durham - Glenn,Durham - Hillside,Wayne - Brodgen,Durham,No
Willowhaven,"2,491",1970,4,3,1,Detached,"$500,000","$490,000",.51-.75 Acres,"27,878.40",0.64,No,Site Built,3,1/14/2021,1,2,,Yes,11/11/2020,No,No,4,27712,No,,Durham - Easley,Durham - Riverside,Durham - Carrington,Durham,Yes
Parkwood,"1,598",1972,3,2,0,Detached,"$269,900","$276,000",.26-.5 Acres,"13,024.44",0.299,No,Site Built,3,1/14/2021,1,0,Yes,Yes,12/10/2020,No,No,2,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Brightleaf,"3,287",2020,4,3,1,Detached,"$536,926","$539,456",0-.25 Acres,"6,969.60",0.16,No,Site Built,0,1/14/2021,2,2,Yes,Yes,9/20/2020,No,Yes,4,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Brightleaf,"1,738",2008,3,2,0,Detached,"$319,500","$340,000",0-.25 Acres,"7,884.36",0.181,No,Site Built,2,1/14/2021,1,2,Yes,Yes,11/30/2020,Yes,No,2,27703,Yes,Yes,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,Yes
Fairfield,"2,863",1994,4,2,1,Detached,"$385,000","$385,000",.26-.5 Acres,"16,552.80",0.38,No,Site Built,1,1/14/2021,1,2,Yes,Yes,12/4/2020,No,No,3,27713,No,Yes,Durham - Parkwood,Durham - Jordan,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"3,025",2020,4,3,1,Detached,"$998,000","$1,010,000",1-2.9 Acres,"64,904.40",1.49,No,Site Built,0,1/14/2021,1,2,No,Yes,11/6/2020,Yes,Yes,4,27707,Yes,,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Keeneland Manor,"3,441",2010,4,3,1,Detached,"$825,000","$805,000",1-2.9 Acres,"46,783.44",1.074,No,Site Built,81,1/14/2021,1,2,Yes,Yes,9/17/2020,No,No,4,27713,No,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Page Square,"1,470",2021,3,2,1,Attached,"$263,840","$265,250",0-.25 Acres,"1,960.20",0.045,No,Site Built,0,1/14/2021,0,1,Yes,Yes,7/28/2020,No,Yes,3,27703,No,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Colvard Farms,"4,848",2006,4,4,1,Detached,"$950,000","$900,000",1-2.9 Acres,"46,173.60",1.06,No,Site Built,17,1/14/2021,2,3,Yes,Yes,11/18/2020,Yes,No,5,27713,No,Yes,Chatham - N Chatham,Chatham - Northwood,Chatham - Margaret B Pollard,Durham,Yes
Homeland Heights,"2,450",1968,4,2,0,Detached,"$189,500","$170,000",0-.25 Acres,"7,448.76",0.171,Yes,Site Built,40,1/14/2021,0,0,,Yes,9/14/2020,Yes,No,2,27707,Yes,No,Durham - Fayetteville,Durham - Hillside,Durham - Lowes Grove,Durham,No
Triangle Dev,"1,568",1956,3,2,0,Detached,"$239,900","$255,000",.26-.5 Acres,"19,994.04",0.459,No,Site Built,2,1/14/2021,1,0,,Yes,11/27/2020,Yes,No,2,27703,Yes,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Southpoint Townes,"1,730",2018,3,2,1,Attached,"$295,000","$291,000",0-.25 Acres,"2,700.72",0.062,No,Site Built,4,1/15/2021,0,2,Yes,Yes,11/17/2020,No,No,3,27713,Yes,,Durham - Parkwood,Durham - Hillside,Durham - Githens,Durham,Yes
American Village,"1,752",1984,3,2,1,Detached,"$295,000","$285,000",.26-.5 Acres,"13,939.20",0.32,No,Site Built,50,1/15/2021,1,0,,Yes,10/13/2020,No,No,3,27705-2832,Yes,,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,No
Not in a Subdivision,"1,659",2020,3,2,0,Detached,"$329,900","$320,000",0-.25 Acres,"5,662.80",0.13,No,Site Built,0,1/15/2021,0,0,,Yes,7/20/2020,Yes,Yes,2,27707,Yes,,Durham - Fayetteville,Durham - Hillside,Durham - Githens,Durham,Yes
Eno Trace,"2,145",1991,3,2,1,Detached,"$285,000","$306,000",.26-.5 Acres,"12,632.40",0.29,No,Site Built,3,1/15/2021,2,2,Yes,Yes,11/29/2020,No,No,3,27712,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Huntington  Place,"1,663",1970,3,2,0,Detached,"$235,000","$235,000",.26-.5 Acres,"19,950.48",0.458,No,Site Built,3,1/15/2021,1,0,,Yes,12/24/2020,Yes,No,2,27712,Yes,,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,No
Huckleberry Heights,"1,397",2020,3,2,1,Detached,"$302,967","$298,500",.26-.5 Acres,"18,295.20",0.42,No,Site Built,0,1/15/2021,0,0,No,Yes,8/14/2020,Yes,Yes,3,27712-3225,Yes,No,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,No
Greysons Green,"1,412",1993,3,2,0,Detached,"$210,000","$220,000",0-.25 Acres,"10,977.12",0.252,No,Site Built,2,1/15/2021,1,0,Yes,Yes,12/15/2020,Yes,No,2,27703,Yes,Yes,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Not in a Subdivision,"2,520",2017,3,2,1,Detached,"$480,000","$475,000",.51-.75 Acres,"24,829.20",0.57,No,Site Built,3,1/15/2021,1,2,,Yes,11/4/2020,Yes,No,3,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Ellis Crossing,"2,697",2020,4,3,0,Detached,"$389,990","$379,475",0-.25 Acres,"6,534.00",0.15,No,Site Built,0,1/15/2021,1,2,Yes,Yes,6/26/2020,No,Yes,3,27703,Yes,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Hope Valley Farms,"1,898",2005,3,3,1,Attached,"$239,900","$247,000",0-.25 Acres,"1,089.00",0.025,Yes,Site Built,2,1/15/2021,2,0,Yes,Yes,12/11/2020,No,No,4,27713,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Not in a Subdivision,"2,020",2019,2,2,0,Condo,"$915,000","$895,000",0-.25 Acres,0.00,0.0,No,Site Built,141,1/15/2021,0,0,Yes,Yes,4/10/2020,Yes,No,2,27701,Yes,,Durham - Spaulding,Durham - Jordan,Durham - Githens,Durham,Yes
Courtyards at Southpoint,"2,826",2019,3,3,0,Detached,"$545,470","$603,930",0-.25 Acres,"7,448.76",0.171,No,Site Built,0,1/15/2021,0,2,Yes,Yes,11/14/2019,Yes,Yes,3,27713,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Lowes Grove,Durham,Yes
Croasdaile Farm,"4,038",2020,4,3,2,Detached,"$729,950","$721,617",0-.25 Acres,"10,018.80",0.23,No,Site Built,0,1/15/2021,1,2,Yes,Yes,2/22/2020,Yes,Yes,5,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Sunset Valley,"4,072",2009,3,2,1,Detached,"$669,000","$624,000",.26-.5 Acres,"1,960.20",0.045,No,Site Built,24,1/15/2021,1,2,,Yes,11/16/2020,Yes,No,3,27707,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Summer Meadow,"3,010",2006,4,3,0,Detached,"$294,999","$290,000",0-.25 Acres,"6,359.76",0.146,No,Site Built,4,1/15/2021,0,2,Yes,Yes,11/30/2020,No,No,3,27704,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,Yes
Croasdaile Farm,"4,751",2000,4,3,2,Detached,"$1,150,000","$1,080,000",1-2.9 Acres,"66,777.48",1.533,No,Site Built,72,1/15/2021,1,5,Yes,Yes,9/15/2020,Yes,No,5,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Treyburn,"8,125",1997,4,4,1,Detached,"$925,000","$900,000",.76-.99 Acres,"37,461.60",0.86,Yes,Site Built,90,1/15/2021,1,4,Yes,Yes,9/20/2020,Yes,No,5,27712,No,Yes,Durham - Little River,Durham - Northern,Durham - Lucas,Durham,Yes
Glennstone,"1,827",2002,3,2,1,Detached,"$205,000","$205,000",0-.25 Acres,"9,147.60",0.21,No,Site Built,0,1/15/2021,1,2,Yes,No,11/12/2020,No,No,3,27704-6409,Yes,,Durham - Glenn,Durham - Northern,Durham - Lucas,Durham,Yes
Independence Park,"1,634",2016,3,2,1,Attached,"$225,000","$227,500",0-.25 Acres,"2,178.00",0.05,No,Site Built,0,1/15/2021,0,1,Yes,Yes,11/23/2020,No,No,3,27704-2393,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Eastway,"1,148",2006,3,2,0,Condo,"$185,000","$185,000",0-.25 Acres,0.00,0.0,No,Site Built,3,1/15/2021,0,0,Yes,Yes,12/10/2020,Yes,No,2,27703,Yes,Yes,Durham - Eastway,Durham - Northern,Durham - Brogden,Durham,Yes
Horton Hills,"1,441",1986,3,2,0,Detached,"$229,000","$235,000",.26-.5 Acres,"20,037.60",0.46,No,Site Built,2,1/15/2021,1,0,,Yes,12/18/2020,Yes,No,2,27704-1461,Yes,No,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,Yes
Geerwood Park,"1,445",1941,4,2,0,Detached,"$439,900","$436,000",0-.25 Acres,"6,185.52",0.142,No,Site Built,17,1/15/2021,0,1,,Yes,11/4/2020,Yes,No,2,27701-2520,Yes,,Durham - Eastway,Durham - Northern,Durham - Lucas,Durham,No
Woodcroft,"1,154",1986,2,2,0,Attached,"$192,500","$198,500",0-.25 Acres,"4,573.80",0.105,No,Site Built,3,1/15/2021,1,0,Yes,Yes,12/10/2020,Yes,No,2,27713,Yes,Yes,Durham - Southwest,Durham - Jordan,Durham - Githens,Durham,Yes
Longview,"1,748",2020,3,2,1,Attached,"$315,785","$315,785",0-.25 Acres,"2,178.00",0.05,No,Site Built,0,1/19/2021,0,1,No,Yes,7/24/2020,No,Yes,3,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Ashworth Estates,"2,884",2002,4,3,1,Detached,"$500,000","$479,300",.51-.75 Acres,"22,869.00",0.525,No,Site Built,100,1/19/2021,1,2,No,Yes,9/4/2020,No,No,4,27707,Yes,Yes,Durham - Creekside,Durham - Jordan,Durham - Githens,Durham,Yes
Turnage Heights,"1,696",1956,3,1,0,Detached,"$223,000","$231,500",.76-.99 Acres,"36,154.80",0.83,No,Site Built,5,1/19/2021,1,0,,Yes,11/12/2020,Yes,No,1,27705,Yes,No,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Copley Farm,"1,924",2021,3,2,1,Detached,"$292,490","$292,600",0-.25 Acres,"4,356.00",0.1,No,Site Built,0,1/19/2021,1,2,Yes,Yes,10/1/2020,No,Yes,3,27703,Yes,Yes,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Greycliff,"1,640",1994,3,2,1,Detached,"$234,900","$234,900",.26-.5 Acres,"11,238.48",0.258,No,Site Built,0,1/19/2021,1,0,Yes,Yes,12/18/2020,No,No,3,27703,Yes,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,Yes
Page Square,"1,558",2021,3,2,1,Attached,"$278,320","$294,755",0-.25 Acres,"2,352.24",0.054,No,Site Built,0,1/19/2021,0,1,Yes,Yes,7/28/2020,No,Yes,3,27703,No,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Chandler Pointe,"1,100",1958,3,1,0,Detached,"$164,900","$170,000",.26-.5 Acres,"21,780.00",0.5,No,Site Built,22,1/19/2021,0,0,,Yes,11/5/2020,Yes,No,1,27703,No,No,Wake - Oak Grove,Durham - Southern,Durham - Neal,Durham,No
Milton Forest,"2,081",1976,3,2,0,Detached,"$265,000","$280,000",.51-.75 Acres,"30,056.40",0.69,No,Site Built,2,1/19/2021,1,2,,Yes,12/17/2020,Yes,No,2,27712,No,No,Durham - Little River,Durham - Northern,Durham - Carrington,Durham,No
Thompson,"2,820",2011,5,3,1,Detached,"$449,900","$440,000",.51-.75 Acres,"26,832.96",0.616,No,Site Built,29,1/19/2021,1,2,,Yes,11/12/2020,Yes,No,4,27703,Yes,No,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,No
Townes at Brier Creek Crossing,"1,881",2014,3,2,1,Attached,"$310,000","$310,000",0-.25 Acres,"2,613.60",0.06,No,Site Built,0,1/19/2021,0,2,Yes,No,1/19/2021,No,No,3,27703-9834,Yes,Yes,Wake - Pleasant Grove,Wake - Leesville Road,Wake - Leesville Road,Durham,Yes
Cabes Mill,"1,490",1992,3,2,1,Detached,"$274,900","$260,000",0-.25 Acres,"7,840.80",0.18,No,Site Built,77,1/19/2021,1,1,Yes,Yes,9/29/2020,Yes,No,3,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Mossdale,"1,287",1954,3,1,0,Detached,"$239,900","$242,000",.26-.5 Acres,"15,986.52",0.367,No,Site Built,6,1/19/2021,0,0,,Yes,11/18/2020,No,No,1,27707-3611,Yes,No,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,No
Copley Farm,"1,924",2020,3,2,1,Detached,"$287,990","$298,385",0-.25 Acres,"4,399.56",0.101,No,Site Built,0,1/19/2021,0,2,Yes,Yes,6/15/2020,No,Yes,3,27703,Yes,Yes,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Hickory Ridge,"1,305",1969,3,1,1,Detached,"$259,000","$257,000",.26-.5 Acres,"19,994.04",0.459,No,Site Built,6,1/19/2021,1,0,,Yes,11/30/2020,Yes,No,2,27712,No,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Page Square,"1,470",2020,3,2,1,Attached,"$297,390","$268,900",0-.25 Acres,"1,960.20",0.045,No,Site Built,0,1/19/2021,0,1,Yes,Yes,6/25/2020,No,Yes,3,27703,No,Yes,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Stone Hill Estates,"1,512",2007,2,2,1,Detached,"$240,000","$235,800",0-.25 Acres,"10,018.80",0.23,No,Site Built,71,1/19/2021,1,1,Yes,Yes,10/1/2020,No,No,3,27703-6634,Yes,Yes,Durham - Oakgrove,Durham - Southern,Durham - Neal,Durham,Yes
Milan Woods,"1,652",1992,3,2,1,Detached,"$245,000","$251,250",.51-.75 Acres,"26,136.00",0.6,Yes,Site Built,6,1/19/2021,1,0,Yes,Yes,11/24/2020,No,No,3,27704,Yes,Yes,Durham - Merrick-Moore,Durham - Southern,Durham - Neal,Durham,Yes
Davis Park,"1,297",2008,2,2,0,Condo,"$250,000","$245,000",0-.25 Acres,43.56,0.001,No,Site Built,43,1/20/2021,0,1,Yes,Yes,10/14/2020,Yes,No,2,27703,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Creekside at Bethpage,"2,031",2020,3,3,0,Attached,"$366,342","$361,107",0-.25 Acres,"6,098.40",0.14,No,Site Built,0,1/20/2021,0,2,Yes,Yes,4/30/2020,Yes,Yes,3,27703,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Fairfield,"2,303",1950,5,2,0,Detached,"$265,000","$280,000",0-.25 Acres,"10,018.80",0.23,No,Site Built,4,1/21/2021,1,3,,Yes,12/17/2020,Yes,No,2,27704,Yes,No,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,No
Not in a Subdivision,720,1952,2,1,0,Detached,"$66,000","$66,000",.26-.5 Acres,"22,215.60",0.51,No,Site Built,1,1/21/2021,0,0,,Yes,12/17/2020,Yes,No,1,27705,No,,Orange - New Hope,Orange - Orange,Orange - A L Stanback,Durham,No
Colonial Village,"1,528",1943,3,2,0,Detached,"$369,900","$363,700",0-.25 Acres,"10,323.72",0.237,No,Site Built,32,1/21/2021,0,0,,Yes,11/4/2020,Yes,No,2,27704,Yes,No,Durham - Glenn,Durham - Northern,Durham - Carrington,Durham,No
Birchwood,"1,382",1971,4,2,1,Detached,"$83,900","$120,742",.26-.5 Acres,"11,325.60",0.26,No,Site Built,6,1/21/2021,0,0,,Yes,2/14/2020,Yes,No,3,27703,Yes,,Durham - Spring Valley,Durham - Southern,Durham - Neal,Durham,No
Canterbury Estates,"1,941",1978,4,3,0,Detached,"$299,000","$295,000",.51-.75 Acres,"29,838.60",0.685,No,Site Built,4,1/21/2021,1,1,,Yes,11/19/2020,No,No,3,27712,No,,Durham - Little River,Durham - Northern,Durham - Carrington,Durham,No
Fisher Heights,"1,114",1978,4,1,0,Detached,"$199,000","$203,000",.26-.5 Acres,"15,681.60",0.36,No,Site Built,5,1/21/2021,0,0,,Yes,12/12/2020,Yes,No,1,27707,Yes,No,Durham - Fayetteville,Durham - Hillside,Durham - Lowes Grove,Durham,No
Breckenridge,"1,108",1984,2,2,1,Attached,"$150,000","$170,000",0-.25 Acres,"1,132.56",0.026,No,Site Built,5,1/21/2021,1,0,Yes,Yes,12/17/2020,No,No,3,27707,Yes,Yes,Durham - Hope Valley,Durham - Jordan,Durham - Githens,Durham,Yes
Longview,"1,629",2020,3,2,1,Attached,"$319,900","$319,900",0-.25 Acres,"1,306.80",0.03,No,Site Built,0,1/21/2021,0,1,Yes,Yes,7/24/2020,No,Yes,3,27705,Yes,Yes,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Magnolia Creek,"1,903",2020,4,2,1,Detached,"$279,990","$279,900",0-.25 Acres,"5,488.56",0.126,No,Site Built,0,1/21/2021,0,2,Yes,No,7/31/2020,Yes,Yes,3,27704,Yes,Yes,Durham - Eno Valley,Durham - Northern,Durham - Lucas,Durham,Yes
Croasdaile,"6,490",1980,6,6,1,Detached,"$899,000","$855,000",1-2.9 Acres,"56,192.40",1.29,Yes,Site Built,256,1/21/2021,3,2,,Yes,3/21/2020,Yes,No,7,27705,Yes,,Durham - Hillandale,Durham - Riverside,Durham - Brogden,Durham,Yes
Lochside Glen,"1,136",2005,2,2,1,Attached,"$189,000","$193,000",0-.25 Acres,"1,176.12",0.027,No,Site Built,5,1/21/2021,1,0,Yes,Yes,12/16/2020,No,No,3,27713,Yes,Yes,Durham - Parkwood,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Not in a Subdivision,"1,690",2017,3,2,0,Detached,"$319,000","$338,000",.26-.5 Acres,"19,602.00",0.45,No,Site Built,2,1/21/2021,1,2,,Yes,12/1/2020,Yes,No,2,27703,No,,Durham - Bethesda,Durham - Hillside,Durham - Lowes Grove,Durham,Yes
Holston Meadows,"1,054",2002,2,2,0,Attached,"$170,000","$171,000",0-.25 Acres,"4,094.64",0.094,No,Site Built,5,1/21/2021,1,1,Yes,Yes,12/9/2020,Yes,No,2,27704,Yes,Yes,Durham - Holt,Durham - Riverside,Durham - Carrington,Durham,Yes
Willowhaven,"1,800",1971,3,2,0,Detached,"$300,000","$294,500",.26-.5 Acres,"20,037.60",0.46,No,Site Built,6,1/21/2021,1,1,No,Yes,12/8/2020,Yes,No,2,27712,No,No,Durham - Easley,Durham - Northern,Durham - Carrington,Durham,No
Willowhaven,"2,482",1979,3,2,0,Detached,"$334,900","$334,900",.26-.5 Acres,"20,995.92",0.482,No,Site Built,1,1/21/2021,1,1,,Yes,12/6/2020,Yes,No,2,27712,No,No,Durham - Eno Valley,Durham - Northern,Durham - Carrington,Durham,No
Fitzgerald,"1,173",1938,3,2,0,Detached,"$210,000","$210,000",0-.25 Acres,"6,054.84",0.139,No,Site Built,25,1/21/2021,0,0,,Yes,10/23/2020,Yes,No,2,27707,Yes,No,Durham - Spaulding,Durham - Hillside,Durham - Brogden,Durham,No
Ashton Hall,"2,457",2013,3,2,1,Detached,"$299,900","$321,000",0-.25 Acres,"7,666.56",0.176,No,Site Built,4,1/21/2021,0,2,Yes,Yes,10/22/2020,No,No,3,27703,Yes,Yes,Durham - Bethesda,Durham - Southern,Durham - Neal,Durham,Yes
